GLOBEX_symbol,Start_month,Start_day,End_month,End_day
ZNH,11,01,03,10
ZNM,02,01,06,10
ZNU,05,01,09,10
ZNZ,08,01,12,10
ZTH,11,01,03,10
ZTM,02,01,06,10
ZTU,05,01,09,10
ZTZ,08,01,12,10
ZQF,11,01,01,10
ZQG,12,01,02,10
ZQH,01,01,03,10
ZQJ,02,01,04,10
ZQK,03,01,05,10
ZQM,04,01,06,10
ZQN,05,01,07,10
ZQQ,06,01,08,10
ZQU,07,01,09,10
ZQV,08,01,10,10
ZQX,09,01,11,10
ZQZ,10,01,12,10
ZBH,11,01,03,10
ZBM,02,01,06,10
ZBU,05,01,09,10
ZBZ,08,01,12,10
ZFH,11,01,03,10
ZFM,02,01,06,10
ZFU,05,01,09,10
ZFZ,08,01,12,10
ZCH,11,01,03,10
ZCK,01,01,05,10
ZCN,03,01,07,10
ZCU,05,01,09,10
ZCZ,07,01,11,10
RXH,11,01,03,10
RXM,02,01,06,10
RXU,05,01,09,10
RXZ,08,01,12,10
EHF,10,01,01,01
EHG,11,01,02,01
EHH,12,01,03,01
EHJ,01,01,04,01
EHK,02,01,05,01
EHM,03,01,06,01
EHN,04,01,07,01
EHQ,05,01,08,01
EHU,06,01,09,01
EHV,07,01,10,01
EHX,08,01,11,01
EHZ,09,01,12,01
KEH,10,01,03,01
KEK,12,01,05,01
KEN,02,01,07,01
KEU,04,01,09,01
KEZ,07,01,12,01
YMH,12,01,03,15
YMM,03,01,06,15
YMU,06,01,09,15
YMZ,09,01,12,15
ZOH,10,01,03,05
ZOK,12,01,05,05
ZON,02,01,07,05
ZOU,04,01,09,05
ZOZ,07,01,12,05
ZRF,09,01,01,05
ZRH,11,01,03,05
ZRK,01,01,05,05
ZRN,03,01,07,05
ZRU,05,01,09,05
ZRX,07,01,11,05
ZSF,08,01,01,05
ZSH,10,01,03,05
ZSK,12,01,05,05
ZSN,02,01,07,05
ZSQ,03,01,08,05
ZSU,04,01,09,05
ZSX,06,01,11,05
ZMF,08,01,01,05
ZMH,10,01,03,05
ZMK,12,01,05,05
ZMN,02,01,07,05
ZMQ,03,01,08,05
ZMU,04,01,09,05
ZMV,05,01,10,05
ZMZ,07,01,12,05
ZLF,08,01,01,05
ZLH,10,01,03,05
ZLK,12,01,05,05
ZLN,02,01,07,05
ZLQ,03,01,08,05
ZLU,04,01,09,05
ZLV,05,01,10,05
ZLZ,07,01,12,05
UBH,11,01,03,10
UBM,02,01,06,10
UBU,05,01,09,10
UBZ,08,01,12,10
ZWH,10,01,03,05
ZWK,12,01,05,05
ZWN,02,01,07,05
ZWU,04,01,09,05
ZWZ,07,01,12,05
