        FINAL POST-CLEARING PRICES AS OF 01/06/17 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB17      ----      ----      ----      ----    -.0150    UNCH                 -.0150
MAR17      ----      ----      ----      ----    -.0150  -.0025                 -.0125
APR17      ----      ----      ----      ----    -.0025    UNCH                 -.0025
MAY17      ----      ----      ----      ----     .0075    UNCH                  .0075
JUN17      ----      ----      ----      ----     .0075    UNCH                  .0075
JLY17      ----      ----      ----      ----     .0125    UNCH                  .0125
AUG17      ----      ----      ----      ----     .0150    UNCH                  .0150
SEP17      ----      ----      ----      ----     .0225    UNCH                  .0225
OCT17      ----      ----      ----      ----     .0200    UNCH                  .0200
NOV17      ----      ----      ----      ----     .0200    UNCH                  .0200
DEC17      ----      ----      ----      ----     .0150    UNCH                  .0150
JAN18      ----      ----      ----      ----     .0000    UNCH                  .0000
FEB18      ----      ----      ----      ----    -.0075    UNCH                 -.0075
2CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB17      ----      ----      ----      ----    -.0300  -.0025                 -.0275
MAR17      ----      ----      ----      ----    -.0175  -.0025                 -.0150
APR17      ----      ----      ----      ----     .0050    UNCH                  .0050
MAY17      ----      ----      ----      ----     .0150    UNCH                  .0150
JUN17      ----      ----      ----      ----     .0200    UNCH                  .0200
JLY17      ----      ----      ----      ----     .0275    UNCH                  .0275
AUG17      ----      ----      ----      ----     .0375    UNCH                  .0375
SEP17      ----      ----      ----      ----     .0425    UNCH                  .0425
OCT17      ----      ----      ----      ----     .0400    UNCH                  .0400
NOV17      ----      ----      ----      ----     .0350    UNCH                  .0350
2RB RBOB TAM SYNTHETIC LONDON FUTURE
FEB17      ----      ----      ----      ----    1.6417  +.0253                 1.6164
MAR17      ----      ----      ----      ----    1.6622  +.0258                 1.6364
APR17      ----      ----      ----      ----    1.8424  +.0250                 1.8174
3A WTI OIL CS12SYNTHT
FEB17      ----      ----      ----      ----     -3.61    -.01                  -3.60
MAR17      ----      ----      ----      ----     -2.70    -.06                  -2.64
APR17      ----      ----      ----      ----     -1.85    -.07                  -1.78
MAY17      ----      ----      ----      ----     -1.12    -.07                  -1.05
JUN17      ----      ----      ----      ----      -.58    -.07                   -.51
JLY17      ----      ----      ----      ----      -.18    -.06                   -.12
AUG17      ----      ----      ----      ----       .06    -.05                    .11
SEP17      ----      ----      ----      ----       .20    -.04                    .24
OCT17      ----      ----      ----      ----       .28    -.02                    .30
NOV17      ----      ----      ----      ----       .34    UNCH                    .34
DEC17      ----      ----      ----      ----       .38    +.01                    .37
JAN18      ----      ----      ----      ----       .42    +.03                    .39
FEB18      ----      ----      ----      ----       .45    +.04                    .41
DEC18      ----      ----      ----      ----       .20    +.02                    .18
DEC19      ----      ----      ----      ----      -.01    +.05                   -.06
DEC20      ----      ----      ----      ----      -.25    +.01                   -.26
3CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB17      ----      ----      ----      ----    -.0325  -.0025                 -.0300
MAR17      ----      ----      ----      ----    -.0100  -.0025                 -.0075
APR17      ----      ----      ----      ----     .0125    UNCH                  .0125
MAY17      ----      ----      ----      ----     .0275    UNCH                  .0275
JUN17      ----      ----      ----      ----     .0350    UNCH                  .0350
JLY17      ----      ----      ----      ----     .0500    UNCH                  .0500
AUG17      ----      ----      ----      ----     .0575    UNCH                  .0575
SEP17      ----      ----      ----      ----     .0625    UNCH                  .0625
OCT17      ----      ----      ----      ----     .0550    UNCH                  .0550
4A WTI OIL CS6 SYNTHT
JUN17      ----      ----      ----      ----      -.78    -.03                   -.75
DEC17      ----      ----      ----      ----       .20    -.04                    .24
JUN18      ----      ----      ----      ----       .18    +.05                    .13
DEC18      ----      ----      ----      ----       .26    +.04                    .22
JUN19      ----      ----      ----      ----      -.06    -.02                   -.04
DEC19      ----      ----      ----      ----       .01    +.02                   -.01
JUN20      ----      ----      ----      ----      -.02    +.03                   -.05
DEC20      ----      ----      ----      ----      -.13    +.01                   -.14
JUN21      ----      ----      ----      ----      -.12    UNCH                   -.12
DEC21      ----      ----      ----      ----      -.19    UNCH                   -.19
JUN22      ----      ----      ----      ----      -.22    UNCH                   -.22
DEC22      ----      ----      ----      ----      -.31    UNCH                   -.31
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
FEB17      ----      ----      ----      ----    1.6278  -.0099                 1.6377
5A WTI OIL CS3 SYNTHT
FEB17      ----      ----      ----      ----     -2.38    +.03                  -2.41
6A WTI OIL CS2 SYNTHT
FEB17      ----      ----      ----      ----     -1.69    +.04                  -1.73
MAR17      ----      ----      ----      ----     -1.50    -.01                  -1.49
6CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB17      ----      ----      ----      ----    -.0050  -.0025                 -.0025
MAR17      ----      ----      ----      ----     .0250  -.0025                  .0275
APR17      ----      ----      ----      ----     .0625    UNCH                  .0625
MAY17      ----      ----      ----      ----     .0850    UNCH                  .0850
JUN17      ----      ----      ----      ----     .0975    UNCH                  .0975
JLY17      ----      ----      ----      ----     .1050    UNCH                  .1050
AUG17      ----      ----      ----      ----     .0925    UNCH                  .0925
6T In Delivery Month European Union Allowance (EUA) F
MAR17      ----      ----      ----      ----    5.0500  -.2400                 5.2900
JUN17      ----      ----      ----      ----    5.0500  -.2500                 5.3000
SEP17      ----      ----      ----      ----    5.0500  -.2500                 5.3000
DEC17      ----      ----      ----      ----    5.0500  -.2500                 5.3000                    6950
DEC18      ----      ----      ----      ----    5.0900  -.2500                 5.3400                    3798
DEC19      ----      ----      ----      ----    5.1400  -.2500                 5.3900
DEC20      ----      ----      ----      ----    5.2200  -.2500                 5.4700
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL                                                                                                    10748
A2 WTI OIL CS1 SYNTHT
FEB17      ----      ----      ----      ----      -.88    +.04                   -.92
MAR17      ----      ----      ----      ----      -.81    UNCH                   -.81
APR17      ----      ----      ----      ----      -.69    -.01                   -.68
MAY17      ----      ----      ----      ----      -.51    UNCH                   -.51
JUN17      ----      ----      ----      ----      -.33    UNCH                   -.33
JLY17      ----      ----      ----      ----      -.19    -.01                   -.18
AUG17      ----      ----      ----      ----      -.11    UNCH                   -.11
SEP17      ----      ----      ----      ----      -.06    -.01                   -.05
OCT17      ----      ----      ----      ----      -.05    -.01                   -.04
NOV17      ----      ----      ----      ----      -.04    UNCH                   -.04
DEC17      ----      ----      ----      ----       .03    -.01                    .04
JAN18      ----      ----      ----      ----       .03    UNCH                    .03
FEB18      ----      ----      ----      ----       .03    -.01                    .04
MAR18      ----      ----      ----      ----       .04    -.01                    .05
APR18      ----      ----      ----      ----       .04    -.01                    .05
MAY18      ----      ----      ----      ----       .03    UNCH                    .03
JUN18      ----      ----      ----      ----       .07    +.01                    .06
JLY18      ----      ----      ----      ----       .05    UNCH                    .05
AUG18      ----      ----      ----      ----       .03    +.01                    .02
SEP18      ----      ----      ----      ----       .02    +.01                    .01
OCT18      ----      ----      ----      ----       .01    +.01                    .00
NOV18      ----      ----      ----      ----       .00    +.01                   -.01
DEC18      ----      ----      ----      ----       .07    +.01                    .06
JAN19      ----      ----      ----      ----       .06    +.01                    .05
FEB19      ----      ----      ----      ----       .05    +.01                    .04
MAR19      ----      ----      ----      ----       .04    +.01                    .03
APR19      ----      ----      ----      ----       .03    UNCH                    .03
MAY19      ----      ----      ----      ----       .01    UNCH                    .01
JUN19      ----      ----      ----      ----       .04    UNCH                    .04
JLY19      ----      ----      ----      ----       .01    UNCH                    .01
AUG19      ----      ----      ----      ----      -.01    -.01                    .00
SEP19      ----      ----      ----      ----      -.01    UNCH                   -.01
OCT19      ----      ----      ----      ----      -.03    UNCH                   -.03
NOV19      ----      ----      ----      ----      -.06    -.01                   -.05
DEC19      ----      ----      ----      ----       .04    +.01                    .03
JAN20      ----      ----      ----      ----       .02    UNCH                    .02
FEB20      ----      ----      ----      ----       .01    UNCH                    .01
MAR20      ----      ----      ----      ----       .00    +.01                   -.01
APR20      ----      ----      ----      ----      -.02    UNCH                   -.02
MAY20      ----      ----      ----      ----      -.04    UNCH                   -.04
JUN20      ----      ----      ----      ----       .05    UNCH                    .05
JLY20      ----      ----      ----      ----       .03    +.01                    .02
AUG20      ----      ----      ----      ----       .00    UNCH                    .00
SEP20      ----      ----      ----      ----      -.01    +.01                   -.02
OCT20      ----      ----      ----      ----      -.03    +.01                   -.04
NOV20      ----      ----      ----      ----      -.06    UNCH                   -.06
DEC20      ----      ----      ----      ----       .02    UNCH                    .02
JAN21      ----      ----      ----      ----       .00    UNCH                    .00
FEB21      ----      ----      ----      ----      -.01    +.01                   -.02
MAR21      ----      ----      ----      ----      -.03    UNCH                   -.03
APR21      ----      ----      ----      ----      -.04    UNCH                   -.04
MAY21      ----      ----      ----      ----      -.07    UNCH                   -.07
JUN21      ----      ----      ----      ----       .05    UNCH                    .05
JLY21      ----      ----      ----      ----       .01    UNCH                    .01
AUG21      ----      ----      ----      ----      -.01    UNCH                   -.01
SEP21      ----      ----      ----      ----      -.03    UNCH                   -.03
OCT21      ----      ----      ----      ----      -.06    UNCH                   -.06
NOV21      ----      ----      ----      ----      -.08    UNCH                   -.08
DEC21      ----      ----      ----      ----       .00    UNCH                    .00
JAN22      ----      ----      ----      ----      -.01    UNCH                   -.01
BH NY Harbor ULSD Bullet Futures
FEB17      ----      ----      ----      ----    1.7032  +.0090                 1.6942                     419
MAR17      ----      ----      ----      ----    1.7166  +.0093                 1.7073                     395
APR17      ----      ----      ----      ----    1.7231  +.0093                 1.7138                      19
MAY17      ----      ----      ----      ----    1.7308  +.0090                 1.7218                      19
JUN17      ----      ----      ----      ----    1.7385  +.0084                 1.7301                      19
JLY17      ----      ----      ----      ----    1.7483  +.0079                 1.7404                      19
AUG17      ----      ----      ----      ----    1.7580  +.0075                 1.7505                      19
SEP17      ----      ----      ----      ----    1.7680  +.0068                 1.7612                      19
OCT17      ----      ----      ----      ----    1.7767  +.0059                 1.7708                      19
NOV17      ----      ----      ----      ----    1.7843  +.0052                 1.7791                      19
DEC17      ----      ----      ----      ----    1.7914  +.0052                 1.7862                      19
JAN18      ----      ----      ----      ----    1.7994  +.0050                 1.7944                       4
FEB18      ----      ----      ----      ----    1.8021  +.0049                 1.7972                       4
MAR18      ----      ----      ----      ----    1.7976  +.0049                 1.7927                       4
APR18      ----      ----      ----      ----    1.7844  +.0050                 1.7794                       4
MAY18      ----      ----      ----      ----    1.7769  +.0052                 1.7717                       4
JUN18      ----      ----      ----      ----    1.7739  +.0052                 1.7687                       4
JLY18      ----      ----      ----      ----    1.7749  +.0047                 1.7702                       4
AUG18      ----      ----      ----      ----    1.7779  +.0047                 1.7732                       4
SEP18      ----      ----      ----      ----    1.7839  +.0042                 1.7797                       4
OCT18      ----      ----      ----      ----    1.7894  +.0042                 1.7852                       4
NOV18      ----      ----      ----      ----    1.7934  +.0042                 1.7892                       4
DEC18      ----      ----      ----      ----    1.7964  +.0044                 1.7920                       4
JAN19      ----      ----      ----      ----    1.8009  +.0049                 1.7960
FEB19      ----      ----      ----      ----    1.8049  +.0054                 1.7995
MAR19      ----      ----      ----      ----    1.8044  +.0054                 1.7990
APR19      ----      ----      ----      ----    1.7989  +.0049                 1.7940
MAY19      ----      ----      ----      ----    1.8019  +.0044                 1.7975
JUN19      ----      ----      ----      ----    1.8079  +.0044                 1.8035
JLY19      ----      ----      ----      ----    1.8154  +.0044                 1.8110
AUG19      ----      ----      ----      ----    1.8239  +.0044                 1.8195
SEP19      ----      ----      ----      ----    1.8329  +.0044                 1.8285
OCT19      ----      ----      ----      ----    1.8409  +.0044                 1.8365
NOV19      ----      ----      ----      ----    1.8474  +.0044                 1.8430
DEC19      ----      ----      ----      ----    1.8524  +.0044                 1.8480
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL                                                                                                     1033
BZ1 Brent Crude Oil TAM Singapore Future
MAR17      ----      ----      ----      ----     56.80    +.51                  56.29
APR17      ----      ----      ----      ----     57.39    +.47                  56.92
MAY17      ----      ----      ----      ----     57.89    +.44                  57.45
BZ2 Brent Crude Oil TAM LONDON Future
MAR17      ----      ----      ----      ----     56.86    +.73                  56.13
APR17      ----      ----      ----      ----     57.43    +.70                  56.73
MAY17      ----      ----      ----      ----     57.91    +.68                  57.23
BZL BZ TAM LONDON FUTURE
MAR17      ----      ----      ----      ----       .00    UNCH                    .00
APR17      ----      ----      ----      ----       .00    UNCH                    .00
MAY17      ----      ----      ----      ----       .00    UNCH                    .00
BZS BZ TAM SINGAPORE FUTURE
MAR17      ----      ----      ----      ----       .00    UNCH                    .00
APR17      ----      ----      ----      ----       .00    UNCH                    .00
MAY17      ----      ----      ----      ----       .00    UNCH                    .00
CAY CRUDE OIL CS1 SYNTHT
FEB17      ----      ----      ----      ----      -.88    +.04                   -.92
MAR17      ----      ----      ----      ----      -.81    UNCH                   -.81
APR17      ----      ----      ----      ----      -.69    -.01                   -.68
MAY17      ----      ----      ----      ----      -.51    UNCH                   -.51
JUN17      ----      ----      ----      ----      -.33    UNCH                   -.33
JLY17      ----      ----      ----      ----      -.19    -.01                   -.18
AUG17      ----      ----      ----      ----      -.11    UNCH                   -.11
SEP17      ----      ----      ----      ----      -.06    -.01                   -.05
OCT17      ----      ----      ----      ----      -.05    -.01                   -.04
NOV17      ----      ----      ----      ----      -.04    UNCH                   -.04
DEC17      ----      ----      ----      ----       .03    -.01                    .04
JAN18      ----      ----      ----      ----       .03    UNCH                    .03
FEB18      ----      ----      ----      ----       .03    -.01                    .04
MAR18      ----      ----      ----      ----       .04    -.01                    .05
APR18      ----      ----      ----      ----       .04    -.01                    .05
MAY18      ----      ----      ----      ----       .03    UNCH                    .03
JUN18      ----      ----      ----      ----       .07    +.01                    .06
JLY18      ----      ----      ----      ----       .05    UNCH                    .05
AUG18      ----      ----      ----      ----       .03    +.01                    .02
SEP18      ----      ----      ----      ----       .02    +.01                    .01
OCT18      ----      ----      ----      ----       .01    +.01                    .00
NOV18      ----      ----      ----      ----       .00    +.01                   -.01
DEC18      ----      ----      ----      ----       .07    +.01                    .06
JAN19      ----      ----      ----      ----       .06    +.01                    .05
FEB19      ----      ----      ----      ----       .05    +.01                    .04
MAR19      ----      ----      ----      ----       .04    +.01                    .03
APR19      ----      ----      ----      ----       .03    UNCH                    .03
MAY19      ----      ----      ----      ----       .01    UNCH                    .01
JUN19      ----      ----      ----      ----       .04    UNCH                    .04
JLY19      ----      ----      ----      ----       .01    UNCH                    .01
AUG19      ----      ----      ----      ----      -.01    -.01                    .00
SEP19      ----      ----      ----      ----      -.01    UNCH                   -.01
OCT19      ----      ----      ----      ----      -.03    UNCH                   -.03
NOV19      ----      ----      ----      ----      -.06    -.01                   -.05
DEC19      ----      ----      ----      ----       .04    +.01                    .03
JAN20      ----      ----      ----      ----       .02    UNCH                    .02
FEB20      ----      ----      ----      ----       .01    UNCH                    .01
MAR20      ----      ----      ----      ----       .00    +.01                   -.01
APR20      ----      ----      ----      ----      -.02    UNCH                   -.02
MAY20      ----      ----      ----      ----      -.04    UNCH                   -.04
JUN20      ----      ----      ----      ----       .05    UNCH                    .05
JLY20      ----      ----      ----      ----       .03    +.01                    .02
AUG20      ----      ----      ----      ----       .00    UNCH                    .00
SEP20      ----      ----      ----      ----      -.01    +.01                   -.02
OCT20      ----      ----      ----      ----      -.03    +.01                   -.04
NOV20      ----      ----      ----      ----      -.06    UNCH                   -.06
DEC20      ----      ----      ----      ----       .02    UNCH                    .02
JAN21      ----      ----      ----      ----       .00    UNCH                    .00
FEB21      ----      ----      ----      ----      -.01    +.01                   -.02
MAR21      ----      ----      ----      ----      -.03    UNCH                   -.03
APR21      ----      ----      ----      ----      -.04    UNCH                   -.04
MAY21      ----      ----      ----      ----      -.07    UNCH                   -.07
JUN21      ----      ----      ----      ----       .05    UNCH                    .05
JLY21      ----      ----      ----      ----       .01    UNCH                    .01
AUG21      ----      ----      ----      ----      -.01    UNCH                   -.01
SEP21      ----      ----      ----      ----      -.03    UNCH                   -.03
OCT21      ----      ----      ----      ----      -.06    UNCH                   -.06
NOV21      ----      ----      ----      ----      -.08    UNCH                   -.08
DEC21      ----      ----      ----      ----       .00    UNCH                    .00
JAN22      ----      ----      ----      ----      -.01    UNCH                   -.01
FEB22      ----      ----      ----      ----      -.02    UNCH                   -.02
MAR22      ----      ----      ----      ----      -.03    UNCH                   -.03
APR22      ----      ----      ----      ----      -.05    UNCH                   -.05
MAY22      ----      ----      ----      ----      -.08    UNCH                   -.08
JUN22      ----      ----      ----      ----       .03    UNCH                    .03
JLY22      ----      ----      ----      ----       .00    UNCH                    .00
AUG22      ----      ----      ----      ----      -.02    UNCH                   -.02
SEP22      ----      ----      ----      ----      -.05    UNCH                   -.05
OCT22      ----      ----      ----      ----      -.08    UNCH                   -.08
NOV22      ----      ----      ----      ----      -.10    UNCH                   -.10
CL Light Sweet Crude Oil Futures
