GLOBEX_symbol,Start_month,Start_day,End_month,End_day
GEF,11,01,01,10
GEG,12,01,02,10
GEH,10,01,03,10
GEJ,02,01,04,10
GEK,03,01,05,10
GEM,01,01,06,10
GEN,05,01,07,10
GEQ,06,01,08,10
GEU,04,01,09,10
GEV,08,01,10,10
GEX,09,01,11,10
GEZ,07,01,12,10
CSCF,12,01,01,25
CSCG,01,01,02,25
CSCH,02,01,03,25
CSCJ,03,01,04,25
CSCK,04,01,05,25
CSCM,05,01,06,25
CSCN,06,01,07,25
CSCQ,07,01,08,25
CSCU,08,01,09,25
CSCV,09,01,10,25
CSCX,10,01,11,25
CSCZ,11,01,12,25
DYF,12,01,01,15
DYG,01,01,02,15
DYH,02,01,03,15
DYJ,03,01,04,15
DYK,04,01,05,15
DYM,05,01,06,15
DYN,06,01,07,15
DYQ,07,01,08,15
DYU,08,01,09,15
DYV,09,01,10,15
DYX,10,01,11,15
DYZ,11,01,12,15
NKDH,12,01,03,10
NKDM,03,01,06,10
NKDU,06,20,09,05
NKDZ,09,01,12,05
NQH,12,01,03,15
NQM,03,01,06,15
NQU,06,01,09,15
NQZ,09,01,12,15
ESH,12,01,03,15
ESM,03,01,06,15
ESU,06,01,09,15
ESZ,09,01,12,15
EMDH,12,01,03,15
EMDM,03,01,06,15
EMDU,06,01,09,15
EMDZ,09,01,12,15
GFF,09,01,01,20
GFH,11,01,03,20
GFJ,12,01,04,10
GFK,01,01,05,10
GFQ,04,01,08,10
GFU,05,01,09,10
GFV,06,01,10,10
GFX,07,01,11,10
HEG,09,01,02,10
HEJ,11,01,04,10
HEK,12,01,05,10
HEM,01,01,06,10
HEN,02,01,07,10
HEQ,03,01,08,10
HEV,05,01,10,10
HEZ,07,01,12,10
LEG,09,01,02,15
LEJ,11,01,04,15
LEM,01,01,06,15
LEQ,03,01,08,15
LEV,05,01,10,15
LEZ,07,01,12,15
DCF,10,01,01,15
DCG,11,01,02,15
DCH,12,01,03,15
DCJ,01,01,04,15
DCK,02,01,05,15
DCM,03,01,06,15
DCN,04,01,07,15
DCQ,05,01,08,15
DCU,06,01,09,15
DCV,07,01,10,15
DCX,08,01,11,15
DCZ,09,01,12,15
LBSF,09,01,01,10
LBSH,12,01,03,10
LBSK,02,01,05,10
LBSN,04,01,07,10
LBSU,06,01,09,10
LBSX,08,01,11,10
SPH,12,01,03,15
SPM,03,01,06,15
SPU,06,01,09,15
SPZ,09,01,12,15
