IB_symbol,GLOBEX_symbol,Description,CME_Settlement_file_description,Settle_file,Exchange,Product_group,Currency
CSC,CSC,CASH SETTLED CHEESE,CSC Cash Settled Cheese Future,stlags.txt,CME,Agriculture,USD
DY,DY,CME DRY WHEY INDEX,DY DRY WHEY FUTURES,stlags.txt,CME,Agriculture,USD
NKD,NKD,NIKKEI 225 INDEX USD,NK CME NIKKEI 225 FUTURES,stleqt.txt,CME,Equities,USD
NQ,NQ,E-MINI NASDAQ 100 FUTURES,NQ CME E-MINI NASDAQ-100 FUTURES,stleqt.txt,CME,Equities,USD
ES,ES,E-MINI S&P 500,ES CME E-MINI S&P 500 FUTURES,stleqt.txt,CME,Equities,USD
EMD,EMD,E-MINI S&P MIDCAP 400 FUTURES,EMD CME E-MINI MIDCAP 400 FUTURES,stleqt.txt,CME,Equities,USD
GF,GF,FEEDER CATTLE,FC CME FEEDER CATTLE FUTURES,stlags.txt,CME,Agriculture,USD
GE,GE,GLOBEX EURO-DOLLAR,ED CME EURODOLLAR FUTURES,stlint.txt,CME,Interest rate,USD
HE,HE,LEAN HOGS,LH CME LEAN HOG FUTURES,stlags.txt,CME,Agriculture,USD
LE,LE,LIVE CATTLE,LC CME LIVE CATTLE FUTURES,stlags.txt,CME,Agriculture,USD
DA,DC,MILK CLASS III INDEX,DA MILK FUTURES,stlags.txt,CME,Agriculture,USD
LB,LBS,RANDOM LENGTH LUMBER,LB CME LUMBER FUTURES,stlags.txt,CME,Agriculture,USD
SPX,SP,S&P 500 STOCK INDEX,SP CME S&P 500 FUTURES,stleqt.txt,CME,Equities,USD
