IB_symbol,GLOBEX_symbol,Description,CME_Settlement_file_description,Settle_file,Exchange,Product_group,Currency
AUD.CAD,,AUSTRALIAN DOLLAR,CAD,,,,
AUD.CHF,,AUSTRALIAN DOLLAR,CHF,,,,
AUD.CNH,,AUSTRALIAN DOLLAR,CNH,,,,
AUD.HKD,,AUSTRALIAN DOLLAR,HKD,,,,
AUD.JPY,,AUSTRALIAN DOLLAR,JPY,,,,
AUD.NZD,,AUSTRALIAN DOLLAR,NZD,,,,
AUD.SGD,,AUSTRALIAN DOLLAR,SGD,,,,
AUD.USD,,AUSTRALIAN DOLLAR,USD,,,,
GBP.AUD,,BRITISH POUND,AUD,,,,
GBP.CAD,,BRITISH POUND,CAD,,,,
GBP.CHF,,BRITISH POUND,CHF,,,,
GBP.CNH,,BRITISH POUND,CNH,,,,
GBP.DKK,,BRITISH POUND,DKK,,,,
GBP.HKD,,BRITISH POUND,HKD,,,,
GBP.JPY,,BRITISH POUND,JPY,,,,
GBP.NOK,,BRITISH POUND,NOK,,,,
GBP.NZD,,BRITISH POUND,NZD,,,,
GBP.SEK,,BRITISH POUND,SEK,,,,
GBP.USD,,BRITISH POUND,USD,,,,
CAD.CHF,,CANADIAN DOLLAR,CHF,,,,
CAD.CNH,,CANADIAN DOLLAR,CNH,,,,
CAD.HKD,,CANADIAN DOLLAR,HKD,,,,
CAD.JPY,,CANADIAN DOLLAR,JPY,,,,
CNH.HKD,,CHINESE RENMINBI - OFFSHORE,HKD,,,,
CNH.JPY,,CHINESE RENMINBI - OFFSHORE,JPY,,,,
DKK.JPY,,DANISH KRONE,JPY,,,,
DKK.NOK,,DANISH KRONE,NOK,,,,
DKK.SEK,,DANISH KRONE,SEK,,,,
EUR.AUD,,EUROPEAN MONETARY UNION EURO,AUD,,,,
EUR.CAD,,EUROPEAN MONETARY UNION EURO,CAD,,,,
EUR.CHF,,EUROPEAN MONETARY UNION EURO,CHF,,,,
EUR.CNH,,EUROPEAN MONETARY UNION EURO,CNH,,,,
EUR.CZK,,EUROPEAN MONETARY UNION EURO,CZK,,,,
EUR.DKK,,EUROPEAN MONETARY UNION EURO,DKK,,,,
EUR.GBP,,EUROPEAN MONETARY UNION EURO,GBP,,,,
EUR.HKD,,EUROPEAN MONETARY UNION EURO,HKD,,,,
EUR.HUF,,EUROPEAN MONETARY UNION EURO,HUF,,,,
EUR.ILS,,EUROPEAN MONETARY UNION EURO,ILS,,,,
EUR.JPY,,EUROPEAN MONETARY UNION EURO,JPY,,,,
EUR.MXN,,EUROPEAN MONETARY UNION EURO,MXN,,,,
EUR.NOK,,EUROPEAN MONETARY UNION EURO,NOK,,,,
EUR.NZD,,EUROPEAN MONETARY UNION EURO,NZD,,,,
EUR.RUB,,EUROPEAN MONETARY UNION EURO,RUB,,,,
EUR.SEK,,EUROPEAN MONETARY UNION EURO,SEK,,,,
EUR.SGD,,EUROPEAN MONETARY UNION EURO,SGD,,,,
EUR.USD,,EUROPEAN MONETARY UNION EURO,USD,,,,
HKD.JPY,,HONG KONG DOLLAR,JPY,,,,
KRW.AUD,,KOREAN WON,AUD,,,,
KRW.CAD,,KOREAN WON,CAD,,,,
KRW.CHF,,KOREAN WON,CHF,,,,
KRW.EUR,,KOREAN WON,EUR,,,,
KRW.GBP,,KOREAN WON,GBP,,,,
KRW.HKD,,KOREAN WON,HKD,,,,
KRW.JPY,,KOREAN WON,JPY,,,,
KRW.USD,,KOREAN WON,USD,,,,
MXN.JPY,,MEXICAN PESO,JPY,,,,
NZD.CAD,,NEW ZEALAND DOLLAR,CAD,,,,
NZD.CHF,,NEW ZEALAND DOLLAR,CHF,,,,
NZD.JPY,,NEW ZEALAND DOLLAR,JPY,,,,
NZD.USD,,NEW ZEALAND DOLLAR,USD,,,,
NOK.JPY,,NORWEGIAN KRONE,JPY,,,,
NOK.SEK,,NORWEGIAN KRONE,SEK,,,,
SGD.CNH,,SINGAPORE DOLLAR,CNH,,,,
SGD.JPY,,SINGAPORE DOLLAR,JPY,,,,
SEK.JPY,,SWEDISH KRONA,JPY,,,,
CHF.CNH,,SWISS FRANC,CNH,,,,
CHF.DKK,,SWISS FRANC,DKK,,,,
CHF.JPY,,SWISS FRANC,JPY,,,,
CHF.NOK,,SWISS FRANC,NOK,,,,
CHF.SEK,,SWISS FRANC,SEK,,,,
USD.CAD,,UNITED STATES DOLLAR,CAD,,,,
USD.CHF,,UNITED STATES DOLLAR,CHF,,,,
USD.CNH,,UNITED STATES DOLLAR,CNH,,,,
USD.CZK,,UNITED STATES DOLLAR,CZK,,,,
USD.HKD,,UNITED STATES DOLLAR,HKD,,,,
USD.HUF,,UNITED STATES DOLLAR,HUF,,,,
USD.ILS,,UNITED STATES DOLLAR,ILS,,,,
USD.JPY,,UNITED STATES DOLLAR,JPY,,,,
USD.KRW,,UNITED STATES DOLLAR,KRW,,,,
USD.MXN,,UNITED STATES DOLLAR,MXN,,,,
USD.NOK,,UNITED STATES DOLLAR,NOK,,,,
USD.RUB,,UNITED STATES DOLLAR,RUB,,,,
USD.SEK,,UNITED STATES DOLLAR,SEK,,,,
USD.SGD,,UNITED STATES DOLLAR,SGD,,,,
