GLOBEX_symbol,Start_month,Start_day,End_month,End_day
HOF,10,01,12,25
HOG,11,01,01,25
HOH,12,01,02,25
HOJ,01,01,03,25
HOK,02,01,04,25
HOM,03,01,05,25
HON,04,01,06,25
HOQ,05,01,07,25
HOU,06,01,08,25
HOV,07,01,09,25
HOX,08,01,10,25
HOZ,09,01,11,25
NGF,10,01,12,25
NGG,11,01,01,25
NGH,12,01,02,25
NGJ,01,01,03,25
NGK,02,01,04,25
NGM,03,01,05,25
NGN,04,01,06,25
NGQ,05,01,07,25
NGU,06,01,08,25
NGV,07,01,09,25
NGX,08,01,10,25
NGZ,09,01,11,25
CLF,10,01,12,15
CLG,11,01,01,15
CLH,12,01,02,15
CLJ,01,01,03,15
CLK,02,01,04,15
CLM,03,01,05,15
CLN,04,01,06,15
CLQ,05,01,07,15
CLU,06,01,08,15
CLV,07,01,09,15
CLX,08,01,10,15
CLZ,09,01,11,15
QMF,10,01,12,15
QMG,11,01,01,15
QMH,12,01,02,15
QMJ,01,01,03,15
QMK,02,01,04,15
QMM,03,01,05,15
QMN,04,01,06,15
QMQ,05,01,07,15
QMU,06,01,08,15
QMV,07,01,09,15
QMX,08,01,10,15
QMZ,09,01,11,15
QGF,11,01,12,20
QGG,12,01,01,20
QGH,01,01,02,20
QGJ,02,01,03,20
QGK,03,01,04,20
QGM,04,01,05,20
QGN,05,01,06,20
QGQ,06,01,07,20
QGU,07,01,08,20
QGV,08,01,09,20
QGX,09,01,10,20
QGZ,10,01,11,20
PAH,11,01,03,01
PAM,02,01,06,01
PAU,05,01,09,01
PAZ,08,01,12,01
PLF,09,01,01,01
PLJ,12,01,04,01
PLN,03,01,07,01
PLV,06,01,10,01
RBF,10,01,12,25
RBG,11,01,01,25
RBH,12,01,02,25
RBJ,01,01,03,25
RBK,02,01,04,25
RBM,03,01,05,25
RBN,04,01,06,25
RBQ,05,01,07,25
RBU,06,01,08,25
RBV,07,01,09,25
RBX,08,01,10,25
RBZ,09,01,11,25
